Unnamed: 0,API,Solvent 1,Solvent 2,Temperature,x_Solvent1,x_Solvent2,x_API,L,L+L,S+L,S+L+L,solute_smiles,solvent_smiles,solvent2_smiles,L_pred,L+L_pred,S+L_pred,S+L+L_pred,predicted_class_idx,predicted_class
0,ibuprofen,water,n-pentane,293.15,0.008035352,0.901390786,0.090573863,1,0,0,0,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
1,ibuprofen,water,n-pentane,293.15,0.008198779,0.90095389,0.090847332,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
2,ibuprofen,water,n-pentane,293.15,0.008368999,0.900499678,0.091131323,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
3,ibuprofen,water,n-pentane,293.15,0.008546446,0.900027095,0.091426459,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
4,ibuprofen,water,n-pentane,293.15,0.00873159,0.899534998,0.091733412,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
5,ibuprofen,water,n-pentane,293.15,0.008924943,0.899022144,0.092052912,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
6,ibuprofen,water,n-pentane,293.15,0.009127065,0.898487186,0.092385749,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
7,ibuprofen,water,n-pentane,293.15,0.009338567,0.897928652,0.092732781,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
8,ibuprofen,water,n-pentane,293.15,0.009560118,0.897344942,0.093094941,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
9,ibuprofen,water,n-pentane,293.15,0.009792452,0.896734301,0.093473248,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
10,ibuprofen,water,n-pentane,293.15,0.010036377,0.89609481,0.093868813,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
11,ibuprofen,water,n-pentane,293.15,0.010292785,0.89542436,0.094282855,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
12,ibuprofen,water,n-pentane,293.15,0.010562659,0.894720632,0.094716709,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
13,ibuprofen,water,n-pentane,293.15,0.010847092,0.893981066,0.095171842,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
14,ibuprofen,water,n-pentane,293.15,0.011147296,0.893202832,0.095649872,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
15,ibuprofen,water,n-pentane,293.15,0.011464621,0.892382792,0.096152586,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
16,ibuprofen,water,n-pentane,293.15,0.011800579,0.891517457,0.096681964,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
17,ibuprofen,water,n-pentane,293.15,0.012156858,0.890602656,0.097240486,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
18,ibuprofen,water,n-pentane,293.15,0.012535373,0.889634604,0.097830023,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
19,ibuprofen,water,n-pentane,293.15,0.012938272,0.888608122,0.098453606,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
20,ibuprofen,water,n-pentane,293.15,0.013367993,0.887517704,0.099114303,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
21,ibuprofen,water,n-pentane,293.15,0.013827315,0.886357123,0.099815563,0,0,0,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,O,CCCCC,,,,,0,L
